survey_id,date,flow,weather,turbidity,start_time,end_time,section_name,units_covered,unit,count,size_class,est_size,substrate,instream_cover,overhead_cover,hydrology,water_depth_m,run,tagged,clipped,location,survey_type,section_type,fork_length,bank_distance,visibility,section_number,temperature,species
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,169,50,III,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,169,4,IV,175,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,173,4,I,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,173,5,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,185,12,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,185,15,III,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,215B,14,IV,175,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,215B,7,III,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,216,1,V,440,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Steelhead Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,172,10,II,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,172,6,I,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,189,2,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,189,6,II,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,1,V,400,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,17,II,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,5,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,8,I,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",26,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,36,II,50,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,3,II,50,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,30,III,75,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,1,NA,100,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,1,II,50,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,17,III,75,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,3,NA,100,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow Trout
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Chinook Salmon
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",31,3,VI,500,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Steelhead Trout
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",31,1,VI,686,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Steelhead Trout
